Ingredient,Effect1,Effect2,Effect3,Effect4
Akatosh Butterfly,Fortify Destruction,Fortify One-handed,Fortify Restoration,Frost Aversion
Alkanet Flower,Damage Stamina,Detect Life,Magicka,Resist Poison
Aloe Vera,Etherealize,Health,Lingering Damage Undead,Stamina
Arrowroot,Fortify Archery,Fortify Unarmed,Slow,Speed
Ayleid Moon Moth,Drain Intelligence,Fortify Alteration,Fortify Restoration,Shock Aversion
Banded Pennant,Lingering Damage Undead,Magicka Regeneration,Stamina Regeneration,Waterwalking
Barley,Damage Stamina Regen,Fortify Heavy Armor,Magicka,Magicka Fortification
Bear Bile,Fortify Heavy Armor,Fortify Light Armor,Fortify Speech,Frenzy
Bergamot Seeds,Lingering Damage Undead,Resist Disease,Resist Paralysis,Silence
Bitterling,Cure Disease,Frost Aversion,Health,Waterbreathing
Black Lichen,Cure Poison,Drain Strength,Resist Frost,Slow
Blackbrow Bleak,Cure Poison,Fire Aversion,Frost Aversion,Shock Aversion
Blind Betty,Cure Poison,Damage Magicka Regen,Fortify Unarmed,Lingering Damage Undead
Bloatspore,Detect Life,Drain Intelligence,Fortify Alteration,Fortify Conjuration
Blue Clipper Butterfly,Damage Undead,Fortify Alteration,Fortify Illusion,Fortify Speech
Blue Orfe,Cure Disease,Drain Intelligence,Fatigue,Health
Cavefish,Damage Undead,Detect Life,Resist Disease,Waterbreathing
Ceanothus Moth,Cure Poison,Fortify Lockpicking,Fortify Pickpocket,Lingering Damage Undead
Cecropia Moth,Damage Health,Fear,Ravage Health,Resist Poison
Chokeberries,Damage Health,Frenzy,Poison Aversion,Silence
Clouded Funnel Cap,Damage Magicka,Damage Stamina,Fortify Conjuration,Magicka
Columbine Root Pulp,Etherealize,Fortify Speech,Magicka Fortification,Resist Frost
Comet Moth,Damage Stamina Regen,Fortify Alteration,Fortify Block,Fortify Heavy Armor
Common Blue Butterfly,Cure Disease,Frost Aversion,Health Regeneration,Magicka Regeneration
Common Shiner,Fortify Smithing,Fortify Unarmed,Resist Disease,Waterbreathing
Crimson Marsh Glider,Cure Disease,Poison Aversion,Resist Paralysis,Waterwalking
Crushed Ant Paste,Cure Poison,Feather,Fortify Lockpicking,Fortify Unarmed
Daedra Venin,Drain Intelligence,Paralysis,Ravage Health,Stamina
Darkwater Minnow,Fire Aversion,Fortify Block,Fortify Speech,Waterbreathing
Direnni's Dartwing,Drain Strength,Fortify Conjuration,Frost Aversion,Speed
Dragon Heartscales,Drain Intelligence,Fortify Alteration,Fortify Heavy Armor,Resist Magic
Druadach Dart,Fortify Archery,Lingering Damage Undead,Speed,Waterbreathing
Ebony Jewelwing,Damage Magicka Regen,Detect Life,Resist Paralysis,Resist Shock
Emerald Darner,Cure Disease,Damage Undead,Speed,Waterwalking
Emerald Swallowtail,Drain Intelligence,Fortify Alteration,Fortify One-handed,Resist Disease
Emperor Dartwing,Damage Undead,Fortify Illusion,Fortify Restoration,Fortify Unarmed
Emperor Moth,Cure Disease,Fire Aversion,Magicka,Magicka Fortification
Falkreath Minnow,Fortify Light Armor,Fortify Lockpicking,Poison Aversion,Resist Paralysis
Falmer Blood,Fortify Sneak,Magicka,Resist Poison,Stamina
Fire Petals,Lingering Damage Health,Ravage Health,Resist Fire,Resist Paralysis
Flame Skimmer,Cure Poison,Damage Magicka Regen,Frost Aversion,Speed
Frogspawn,Cure Disease,Fortify Pickpocket,Frost Aversion,Waterbreathing
Frost Skimmer,Fire Aversion,Resist Frost,Stamina,Waterwalking
Ghostfish,Etherealize,Resist Poison,Shock Aversion,Speed
Giant's Blood,Fortify Smithing,Fortify Unarmed,Resist Disease,Shock Aversion
Ginseng,Cure Poison,Damage Undead,Magicka Fortification,Slow
Goat Eye,Damage Magicka Regen,Damage Stamina,Damage Stamina Regen,Fortify Illusion
Golden Rudd,Fortify Restoration,Fortify Unarmed,Lingering Damage Health,Resist Disease
Golden Skimmer,Frenzy,Resist Poison,Shock Aversion,Waterwalking
Golden-Ringed Darner,Damage Stamina Regen,Fortify Block,Fortify Light Armor,Fortify Lockpicking
Gravedust,Cure Disease,Damage Undead,Drain Intelligence,Fortify Smithing
Green Tench,Fortify Two-handed,Poison Aversion,Ravage Health,Resist Shock
Gudgeon,Health Fortification,Health Regeneration,Lingering Damage Health,Resist Disease
Heather,Damage Stamina Regen,Fortify Lockpicking,Fortify Speech,Slow
Imp Gall,Fire Aversion,Fortify Speech,Lingering Damage Health,Resist Paralysis
Kwama Cuttle,Fatigue,Resist Poison,Waterbreathing,Waterwalking
Kwama Egg,Health Fortification,Resist Frost,Resist Paralysis,Stamina
Lotus Seeds,Cure Poison,Feather,Lingering Damage Health,Waterwalking
Mandrake Root,Cure Disease,Fear,Fortify Destruction,Resist Poison
Marsh Fritillary,Fear,Fortify Illusion,Fortify Light Armor,Speed
Marshmerrow,Damage Stamina Regen,Fortify Enchanting,Health,Health Regeneration
Monkshood Root Pulp,Drain Intelligence,Fortify Heavy Armor,Fortify Unarmed,Slow
Morning Glory Root Pulp,Fortify Illusion,Lingering Damage Undead,Resist Frost,Slow
Mourning Cloak,Damage Undead,Fortify Lockpicking,Lingering Damage Undead,Resist Disease
Mugwort Seeds,Fortify Light Armor,Fortify One-handed,Health,Stamina Regeneration
Nordic Swallowtail,Fire Aversion,Fortify Two-handed,Health,Resist Magic
Ogre's Teeth,Fortify Unarmed,Frenzy,Resist Poison,Shock Aversion
Orange Tip Butterfly,Cure Disease,Detect Life,Fire Aversion,Fortify Archery
Oxgall,Damage Stamina,Fortify Heavy Armor,Fortify Restoration,Fortify Unarmed
Padomaic Tigerfish,Fortify Alteration,Fortify Unarmed,Frenzy,Waterbreathing
Painted Lady,Cure Poison,Damage Magicka Regen,Poison Aversion,Resist Poison
Peacock Butterfly,Cure Disease,Fortify Block,Fortify Pickpocket,Fortify Sneak
Peony Seeds,Lingering Damage Health,Slow,Stamina,Stamina Fortification
Pheasant Feathers,Cure Disease,Damage Stamina,Fortify Pickpocket,Fortify Restoration
Polyphemus Moth,Detect Life,Fear,Fortify Conjuration,Fortify Illusion
Red Admiral Butterfly,Damage Stamina Regen,Health,Magic Aversion,Resist Poison
Red Cracker Butterfly,Cure Poison,Fortify Pickpocket,Poison Aversion,Ravage Health
Red Lichen,Cure Disease,Drain Intelligence,Fortify Speech,Slow
Redbelly Dace,Cure Disease,Cure Poison,Fortify Restoration,Frost Aversion
Redwort Flower,Cure Poison,Fortify Destruction,Ravage Health,Resist Frost
Roobrush,Cure Poison,Damage Stamina Regen,Fortify Pickpocket,Lingering Damage Health
Ruby Shiner,Frost Aversion,Health,Magicka,Resist Disease
Scamp Skin,Damage Magicka,Fortify Block,Lingering Damage Health,Resist Shock
Silverjaw Minnow,Cure Disease,Damage Undead,Lingering Damage Undead,Waterbreathing
St. Jahn's Wort Nectar,Cure Poison,Etherealize,Resist Shock,Waterbreathing
Stoneflower,Fortify Speech,Lingering Damage Undead,Magicka,Stamina
Swamp Betty,Fortify Heavy Armor,Fortify Two-handed,Paralysis,Shock Aversion
Tiger Lily Nectar,Drain Strength,Fortify Smithing,Frenzy,Waterwalking
Tinder Polypore Cap,Damage Magicka,Fortify Alteration,Invisibility,Resist Disease
Troll's Blood,Fire Aversion,Health Fortification,Health Regeneration,Ravage Health
Violet Coprinus,Fatigue,Ravage Health,Speed,Waterwalking
Warpaint Shiner,Damage Magicka Regen,Damage Stamina Regen,Fortify Illusion,Health Fortification
Water Hyacinth Nectar,Fatigue,Magic Aversion,Magicka,Waterbreathing
Werebear Claws,Fortify Block,Fortify One-handed,Fortify Two-handed,Resist Poison
Werewolf Blood,Cure Disease,Detect Life,Fear,Fortify Alteration
White Witch Moth,Fortify One-handed,Fortify Sneak,Poison Aversion,Silence
Widow Skimmer,Fortify Lockpicking,Ravage Health,Shock Aversion,Waterwalking
Wisp Stalks,Damage Health,Damage Magicka,Damage Stamina,Waterwalking
Wolf Liver,Detect Life,Fire Aversion,Fortify Unarmed,Resist Disease
Wormwood Leaves,Fortify Archery,Fortify Sneak,Lingering Damage Health,Lingering Damage Undead
Ancestor Moth,Damage Magicka Regen,Detect Life,Fortify Conjuration,Fortify Enchanting
Chaurus Hunter Antennae,Damage Magicka Regen,Damage Stamina,Fortify Conjuration,Fortify Enchanting
Gleamblossom,Etherealize,Fear,Health Regeneration,Paralysis
Poison Bloom,Damage Health,Fear,Feather,Slow
Yellow Mountain Flower,Damage Stamina Regen,Fortify Restoration,Health Fortification,Resist Poison
Ash Creep Cluster,Damage Stamina,Fortify Destruction,Invisibility,Resist Fire
Ash Hopper Jelly,Fortify Illusion,Fortify Light Armor,Frost Aversion,Health
Ash Salts,Drain Strength,Fatigue,Fortify Enchanting,Resist Magic
Ashen Grass Pod,Fortify Lockpicking,Fortify Sneak,Resist Fire,Shock Aversion
Boar Tusk,Fortify Block,Frenzy,Health Fortification,Stamina Fortification
Burnt Spriggan Wood,Damage Magicka Regen,Fire Aversion,Fortify Alteration,Slow
Emperor Parasol Moss,Damage Health,Fortify Heavy Armor,Fortify Two-handed,Health Regeneration
Felsaad Tern Feathers,Cure Disease,Fortify Light Armor,Health,Resist Magic
Netch Jelly,Feather,Paralysis,Resist Paralysis,Stamina
Scathecraw,Fatigue,Lingering Damage Health,Ravage Health,Silence
Trama Root,Damage Magicka,Drain Strength,Feather,Shock Aversion
Salmon Roe,Magicka Fortification,Magicka Regeneration,Stamina,Waterbreathing
Abecean Longfin,Fortify Light Armor,Fortify Restoration,Frost Aversion,Poison Aversion
Bear Claws,Fortify Block,Fortify One-handed,Health Fortification,Stamina
Bee,Fatigue,Shock Aversion,Stamina,Stamina Regeneration
Beehive Husk,Cure Poison,Fortify Destruction,Fortify Light Armor,Fortify Sneak
Bleeding Crown,Fire Aversion,Fortify Block,Fortify Light Armor,Poison Aversion
Blisterwort,Damage Stamina,Fortify Smithing,Frenzy,Health
Blue Dartwing,Fear,Fortify Pickpocket,Health,Resist Shock
Blue Mountain Flower,Damage Health,Fortify Conjuration,Magicka,Magicka Fortification
Blue Swallowtail,Damage Stamina,Fortify Conjuration,Fortify Enchanting,Fortify Smithing
Briar Heart,Fortify Destruction,Health Fortification,Magicka Fortification,Paralysis
Canis Root,Damage Stamina,Fortify Archery,Fortify Light Armor,Silence
Charred Skeever Meat,Cure Disease,Health,Resist Poison,Stamina
Chicken Egg,Damage Magicka Regen,Fortify Alteration,Resist Paralysis,Resist Poison
Creep Cluster,Damage Stamina Regen,Feather,Magic Aversion,Magicka
Crimson Nirnroot,Damage Health,Drain Strength,Invisibility,Resist Magic
Cyrodilic Spadetail,Damage Stamina,Fear,Fortify Restoration,Ravage Health
Daedra Heart,Damage Magicka,Fear,Health,Silence
Deathbell,Damage Health,Fatigue,Poison Aversion,Slow
Dragon's Tongue,Fortify Illusion,Fortify Speech,Fortify Two-handed,Resist Fire
Dwarven Oil,Fortify Illusion,Fortify Lockpicking,Fortify Sneak,Magic Aversion
Ectoplasm,Damage Health,Etherealize,Fortify Illusion,Magicka Fortification
Elves Ear,Frost Aversion,Health,Magicka,Resist Fire
Falmer Ear,Damage Health,Fortify Lockpicking,Frenzy,Resist Poison
Fire Salts,Fire Aversion,Magicka,Magicka Regeneration,Resist Frost
Fly Amanita,Fortify Two-handed,Frenzy,Resist Fire,Stamina Regeneration
Frost Mirriam,Fire Aversion,Magicka Fortification,Resist Frost,Stamina Fortification
Frost Salts,Damage Health,Frost Aversion,Magicka,Resist Fire
Garlic,Health Regeneration,Magicka Regeneration,Resist Disease,Stamina Regeneration
Giant Lichen,Magicka,Poison Aversion,Ravage Health,Shock Aversion
Giant's Toe,Damage Stamina Regen,Drain Strength,Feather,Health Fortification
Glow Dust,Damage Magicka,Damage Magicka Regen,Fortify Destruction,Resist Shock
Glowing Mushroom,Etherealize,Fortify Destruction,Health Fortification,Resist Shock
Grass Pod,Cure Poison,Drain Intelligence,Fortify Alteration,Magicka
Hagraven Claw,Drain Strength,Fortify Enchanting,Fortify Speech,Resist Magic
Hagraven Feathers,Damage Magicka,Fortify Conjuration,Frenzy,Shock Aversion
Hanging Moss,Damage Magicka,Damage Magicka Regen,Fortify One-handed,Stamina Fortification
Hawk Beak,Feather,Fortify Archery,Resist Shock,Stamina Regeneration
Hawk Feathers,Cure Disease,Fortify Light Armor,Fortify One-handed,Speed
Histcarp,Damage Stamina Regen,Resist Disease,Stamina,Waterbreathing
Honeycomb,Fatigue,Fortify Illusion,Fortify One-handed,Magicka Regeneration
Human Flesh,Damage Health,Fortify Sneak,Magicka,Paralysis
Human Heart,Damage Health,Damage Magicka Regen,Detect Life,Stamina Regeneration
Ice Wraith Teeth,Etherealize,Fortify Heavy Armor,Frost Aversion,Magicka Regeneration
Imp Stool,Damage Health,Health,Health Regeneration,Lingering Damage Health
Jarrin Root,Damage Health,Damage Magicka,Damage Stamina,Drain Strength
Jazbay Grapes,Magic Aversion,Magicka Fortification,Magicka Regeneration,Ravage Health
Juniper Berries,Damage Stamina Regen,Fire Aversion,Fortify Archery,Health Regeneration
Large Antlers,Damage Stamina Regen,Slow,Stamina,Stamina Fortification
Lavender,Drain Intelligence,Fortify Conjuration,Fortify Speech,Stamina Fortification
Luna Moth,Damage Magicka,Fortify Light Armor,Invisibility,Magicka Regeneration
Monarch Butterfly,Damage Magicka,Damage Magicka Regen,Damage Undead,Fortify Speech
Moon Sugar,Fire Aversion,Magicka,Magicka Regeneration,Resist Frost
Mora Tapinella,Fortify Alteration,Fortify Illusion,Lingering Damage Health,Magicka Fortification
Mother of Pearl,Magicka,Resist Paralysis,Stamina,Waterwalking
Mudcrab Chitin,Cure Disease,Resist Disease,Resist Fire,Stamina
Namira's Rot,Damage Magicka,Fear,Fortify Lockpicking,Health Regeneration
Nightshade,Damage Health,Damage Magicka Regen,Damage Undead,Fortify Destruction
Nirnroot,Damage Health,Drain Strength,Invisibility,Resist Magic
Nordic Barnacle,Damage Magicka,Fortify Pickpocket,Health Regeneration,Waterbreathing
Orange Dartwing,Fortify Pickpocket,Lingering Damage Health,Silence,Speed
Pearl,Fortify Restoration,Magicka Fortification,Stamina,Waterwalking
Pine Thrush Egg,Fortify Lockpicking,Poison Aversion,Resist Shock,Stamina
Powdered Mammoth Tusk,Fear,Fire Aversion,Fortify Block,Fortify Unarmed
Purple Mountain Flower,Fortify Archery,Fortify Sneak,Lingering Damage Undead,Stamina
Red Mountain Flower,Damage Magicka Regen,Drain Intelligence,Health,Health Fortification
River Betty,Damage Health,Feather,Fortify Alteration,Slow
Rock Warbler Egg,Cure Poison,Damage Stamina,Health,Magic Aversion
Sabre Cat Tooth,Fortify Heavy Armor,Fortify One-handed,Poison Aversion,Stamina Fortification
Salt Pile,Damage Stamina Regen,Fortify Unarmed,Magic Aversion,Stamina Regeneration
Scaly Pholiota,Feather,Magic Aversion,Speed,Stamina Regeneration
Silverside,Damage Stamina Regen,Ravage Health,Resist Frost,Stamina
Skeever Tail,Damage Health,Damage Stamina Regen,Fortify Sneak,Ravage Health
Slaughterfish Egg,Fortify Pickpocket,Lingering Damage Health,Stamina Fortification,Waterbreathing
Slaughterfish Scales,Fortify Block,Fortify Heavy Armor,Lingering Damage Health,Waterwalking
Small Antlers,Damage Undead,Fortify Restoration,Poison Aversion,Speed
